,Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
75,Georgia,GEO,5413.801063,4384.984272,2452.121955,1761.137699,1636.677897,1780.09171,2090.211504,2426.512392,2593.3911,2762.575882,2932.733288,3190.188485,3448.844072,3927.811153,4293.788083,4883.042305,5536.086757,6433.362023,6737.558439,6599.447428,7145.520193,7897.696255,8627.623156,9122.490656,9699.506341,10081.43513,10480.96562,11191.33618,12004.57383,
76,Ghana,GHA,1233.450597,1304.193067,1346.184553,1404.239791,1440.860349,1490.846873,1547.236299,1599.077926,1651.749846,1706.995692,1765.935336,1831.441011,1897.129518,1983.476478,2098.15671,2234.201454,2387.358547,2492.897985,2703.302627,2784.138279,2964.43112,3368.800837,3664.600153,3909.669523,4006.186475,4044.413369,4135.645,4457.355846,4746.684995,
78,Guinea,GIN,871.4993282,898.6766032,923.6258375,967.1192728,1000.307833,1040.636789,1078.174231,1123.7414,1148.028121,1179.884875,1208.548507,1253.416761,1312.646354,1327.887063,1368.553326,1424.147685,1453.004181,1558.614436,1617.117614,1574.663204,1632.386304,1721.451359,1817.852602,1880.238514,1940.634943,1986.353057,2167.282392,2369.51917,2504.869745,
82,Greece,GRC,13291.05198,13997.42897,14306.92255,14327.03177,14851.09236,15408.69221,16129.25314,17154.12998,18033.51768,18464.7321,19518.90751,20963.56036,22615.93565,23870.1601,25437.26843,25577.52408,28519.53894,29291.92369,30856.01183,30365.39993,28148.42242,26141.31959,25284.46408,26097.8719,26838.45523,26902.52532,27273.93458,28579.79453,29592.15242,
85,Guatemala,GTM,3310.022035,3465.056495,3629.280599,3771.759655,3915.656915,4100.385342,4202.790221,4363.091746,4530.221158,4666.097747,4830.764001,4935.712795,5086.550786,5188.204053,5368.507328,5585.650725,5928.026112,6327.75499,6516.890988,6458.253034,6576.668609,6844.540528,7031.531311,7264.853827,7552.717983,7788.497934,7955.320011,8166.857467,8462.374008,
89,Hong Kong,HKG,17504.3572,18970.19454,20439.88957,21843.22835,23129.50163,23701.05653,24070.37478,25520.76856,24087.86072,24810.04848,27068.81009,27613.41243,28388.88501,29858.75065,33071.36409,36461.38319,39949.13935,43300.43427,44813.10793,43949.60279,47123.34339,50085.95933,51344.50705,53649.88933,55781.77367,57235.19123,58755.32006,61713.41554,64596.56385,
90,Honduras,HND,2081.50666,2022.001608,2132.5862,2260.388599,2249.112306,2370.0345,2389.196007,2470.289401,2515.099693,2462.669637,2628.424519,2686.72693,2759.212445,2865.039618,3049.733773,3256.300176,3493.06359,3723.884307,3871.469391,3726.826149,3832.54541,3984.497267,4150.265868,4263.120157,4398.096634,4536.135356,4683.126696,4916.723792,5138.752457,
92,Croatia,HRV,,,,,,7961.202558,8685.089591,9463.796423,9785.114789,9843.817633,10601.6383,11613.48393,12647.63913,13550.17297,14534.45224,15303.86262,17431.30471,19354.98219,20776.44815,19998.68469,19761.48491,20743.50638,21136.4033,21769.27996,22062.0257,23013.62205,24511.89485,26351.90704,27579.78083,
93,Haiti,HTI,1337.982425,1381.622932,1312.318405,1246.468568,1100.060529,1211.630151,1261.641549,1294.569082,1314.146455,1345.487696,1363.804198,1355.931003,1351.106112,1358.553498,1324.113894,1367.599877,1417.629644,1480.52853,1498.199674,1532.1101,1478.736255,1569.198158,1621.371471,1695.141608,1750.202933,1766.044239,1787.159403,1818.606695,1866.617589,
94,Hungary,HUN,,8312.416773,8244.563238,8400.85142,8845.213743,9177.965928,9340.325252,9823.814155,10397.93316,10873.24786,11854.81987,13213.44527,14526.38826,15464.17155,16228.92055,17073.55143,18342.71523,19045.80841,20696.72857,20678.06831,21569.89008,22894.34764,23148.12788,24498.17916,25604.98821,26668.04088,27171.15945,29159.12645,31102.50275,
